J2,L,acceptance,h,key,kind,scaled_gap_residual,task_seconds,KF,KF_half,P2,P4_low,n_levels,n_low_energy_eigenpairs,shift,solve_res
0.2,18,PASS,1.3256289836200745,prg_j2_0p2_L18,prg,2.3447910280083306e-13,1.138065294999997,,,,,,,,
0.2,20,PASS,1.325555178890169,prg_j2_0p2_L20,prg,4.121147867408581e-13,4.734824875000001,,,,,,,,
0.05,6,PASS,1.0911701533893579,response_j2_0p05_L6_neig160,response,,0.0021126890000005005,0.876010981824281,0.8760000977362496,0.774054488783718,0.5248710478807488,5,160,,8.097338918490799e-16
0.05,8,PASS,1.0864172004062271,response_j2_0p05_L8_neig160,response,,0.002132155999987617,0.8273869123634958,0.8273869123629191,1.4516203240949836,1.7434709968622943,17,160,,2.9421285176281593e-09
0.05,10,PASS,1.0850543398494488,response_j2_0p05_L10_neig160,response,,0.0037092300000125533,0.7959248309078854,0.7959248309078854,2.331962736946958,4.328279191084384,53,160,,1.0423958040062932e-08
0.05,12,PASS,1.0845170939093018,response_j2_0p05_L12_neig160,response,,0.01847358399999166,0.7742769689541289,0.7742769689541289,3.4163968090816392,9.03718049674022,159,160,,1.856965034116783e-08
0.05,14,PASS,1.0842627439896941,response_j2_0p05_L14_neig160,response,,0.27067191300000104,0.7585945231780722,0.758594523178072,4.7053131149175265,16.79526113036068,159,160,,2.067981702600822e-08
0.05,16,PASS,1.084126814481306,response_j2_0p05_L16_neig160,response,,0.786462911000001,0.7467625411835863,0.7467625411835593,6.1988698821693795,28.695088309015432,159,160,,2.864107316609749e-08
0.05,18,PASS,1.0840475954302486,response_j2_0p05_L18_neig160,response,,2.941590203000004,0.7375438706387833,0.7375438706384214,7.897143499436777,45.99683163181237,159,160,,6.267387320727034e-08
0.05,20,PASS,1.0839983137261615,response_j2_0p05_L20_neig64,response,,4.582525732999997,0.7301729670253453,0.7301725416582936,9.80017539639325,70.12832194179248,63,64,,8.802023751042619e-08
0.1,6,PASS,1.1745393319993218,response_j2_0p1_L6_neig160,response,,0.008268415999999945,0.8855611455135677,0.8855564370151957,0.6586478332599445,0.3841714513537949,5,160,,8.323221193717485e-16
0.1,8,PASS,1.1689199138694841,response_j2_0p1_L8_neig160,response,,0.0020993009999994428,0.8340717560165922,0.8340717560125419,1.2324644259747766,1.266928775251929,17,160,,2.887439174242732e-09
0.1,10,PASS,1.1673148394930315,response_j2_0p1_L10_neig160,response,,0.003819032000000888,0.8001864614497635,0.8001864614497632,1.9758501965190662,3.123915141783869,53,160,,1.6973010038127526e-08
0.1,12,PASS,1.166678871513836,response_j2_0p1_L12_neig160,response,,0.018152625000002587,0.7768168780223195,0.7768168780223195,2.890128487724569,6.488629169837868,159,160,,2.6376789723619047e-08
0.1,14,PASS,1.166376550236028,response_j2_0p1_L14_neig160,response,,0.2783314939999997,0.7599366112684293,0.7599366112684285,3.975666808665233,12.011502278240226,159,160,,3.1196881298831434e-08
0.1,16,PASS,1.1662144779421024,response_j2_0p1_L16_neig160,response,,0.7215076240000009,0.7472644001562703,0.747264400156095,5.232612470126821,20.46027358506078,159,160,,3.988604268709649e-08
0.1,18,PASS,1.1661197921487902,response_j2_0p1_L18_neig160,response,,3.1099971470000014,0.7374488089969751,0.7374488089939574,6.661036192890722,32.720163518461064,159,160,,5.2766394036120096e-08
0.1,20,PASS,1.166060773736693,response_j2_0p1_L20_neig32,response,,2.9588046960000014,0.7296447370703689,0.7296390126408256,8.260976172083026,49.79367647398305,31,32,,5.885115563838193e-08
0.2,6,PASS,1.3362834266313166,response_j2_0p2_L6_neig160,response,,0.0016314089999980297,0.9041064567710609,0.9041054717807198,0.4975101672339944,0.2237811451102446,5,160,,5.938083216664718e-16
0.2,8,PASS,1.329057106952854,response_j2_0p2_L8_neig160,response,,0.0021224109999948837,0.8482778793520019,0.8482778793187499,0.9284770081847522,0.7312745337383451,17,160,,1.8538831480923153e-09
0.2,10,PASS,1.3271005540907905,response_j2_0p2_L10_neig160,response,,0.003877774999999417,0.8101719570341662,0.8101719570341649,1.4839442510595382,1.7840720025629169,53,160,,2.2251444234720653e-08
0.2,12,PASS,1.3263212412196022,response_j2_0p2_L12_neig160,response,,0.01856810600000358,0.7836193729156308,0.7836193729156308,2.1654002767205833,3.674358608453823,159,160,,2.5291308386303782e-08
0.2,14,PASS,1.3259481271186353,response_j2_0p2_L14_neig160,response,,0.270123145999996,0.764426352976209,0.7644263529762072,2.9731515950263847,6.757246433686679,159,160,,3.1083167467935727e-08
0.2,16,PASS,1.3257469931230863,response_j2_0p2_L16_neig160,response,,0.7116366030000023,0.7500751234730226,0.7500751234715864,3.9073140980393375,11.451474513387687,159,160,,3.415366990898885e-08
0.2,18,PASS,1.3256289836200745,response_j2_0p2_L18_neig160,response,,2.7859087759999994,0.7390259144802599,0.7390259144620205,4.96794273466925,18.239495837214545,159,160,,4.4390903627968445e-08
0.2,20,PASS,1.325555178890169,response_j2_0p2_L20_neig96,response,,7.840473809999992,0.7303081530463842,0.730308152268357,6.155066995487525,27.66761462667877,95,96,,5.275387869839661e-08
0.05,16,PASS,1.084126814481306,response_j2_0p05_L16_neig64,response,,0.23537664699999983,0.7467625411830247,0.7467625411684164,6.198869882167226,28.695088308973908,63,64,,2.8976198077895335e-08
0.05,16,PASS,1.084126814481306,response_j2_0p05_L16_neig96,response,,0.26084881999999965,0.7467625411838856,0.7467625411829364,6.198869882168071,28.69508830901482,95,96,,2.8149218529617193e-08
0.05,18,PASS,1.0840475954302486,response_j2_0p05_L18_neig64,response,,0.8154188799999993,0.7375438706365924,0.7375438705583567,7.897143499438119,45.996831631691364,63,64,,4.2287426608092295e-08
0.05,18,PASS,1.0840475954302486,response_j2_0p05_L18_neig96,response,,0.8893206589999991,0.7375438706385827,0.7375438706299668,7.897143499436978,45.996831631802195,95,96,,6.396628073456889e-08
0.1,16,PASS,1.1662144779421024,response_j2_0p1_L16_neig64,response,,0.117786112000001,0.7472644001541419,0.7472643999999937,5.232612470126039,20.46027358499639,63,64,,3.5783929062434645e-08
0.1,16,PASS,1.1662144779421024,response_j2_0p1_L16_neig96,response,,0.24535426799999982,0.7472644001564428,0.7472644001497822,5.232612470126877,20.46027358506594,95,96,,4.035685417015697e-08
0.1,18,PASS,1.1661197921487902,response_j2_0p1_L18_neig64,response,,0.3644041010000052,0.7374488089825483,0.7374488082168142,6.661036192890388,32.720163517817674,63,64,,4.9579479044546165e-08
0.1,18,PASS,1.1661197921487902,response_j2_0p1_L18_neig96,response,,0.7219882999999996,0.7374488089961182,0.7374488089056963,6.661036192890315,32.720163518419035,95,96,,4.842883118846705e-08
0.2,16,PASS,1.3257469931230863,response_j2_0p2_L16_neig64,response,,0.1157428399999958,0.7500751234690587,0.7500751226671537,3.9073140980391474,11.451474513326056,63,64,,3.345946840653513e-08
0.2,16,PASS,1.3257469931230863,response_j2_0p2_L16_neig96,response,,0.20159394499999905,0.7500751234727117,0.7500751234445957,3.9073140980395165,11.451474513383989,95,96,,3.394118265924954e-08
0.2,18,PASS,1.3256289836200745,response_j2_0p2_L18_neig64,response,,0.4138550609999996,0.7390259144526845,0.7390259131254812,4.967942734669591,18.239495836536477,63,64,,3.818079381548773e-08
0.2,18,PASS,1.3256289836200745,response_j2_0p2_L18_neig96,response,,0.7086202529999994,0.7390259144775411,0.7390259141196621,4.967942734669261,18.239495837147526,95,96,,4.40595531048119e-08
0.05,20,PASS,1.0839983137261615,response_j2_0p05_L20_neig16,response,,2.408501623999996,0.7301591980946017,0.730112761158461,9.80017539638968,70.12699952629794,15,16,,8.350875436820523e-08
0.05,20,PASS,1.0839983137261615,response_j2_0p05_L20_neig24,response,,0.3414081549999963,0.7301725416426524,0.7301591980638178,9.800175396392458,70.12828108656494,23,24,,7.408381883083533e-08
0.05,20,PASS,1.0839983137261615,response_j2_0p05_L20_neig32,response,,0.6624948959999983,0.7301725416582606,0.7301591980943924,9.800175396392795,70.12828108806883,31,32,,8.710428750286856e-08
0.1,20,PASS,1.166060773736693,response_j2_0p1_L20_neig16,response,,0.22647269499999823,0.7296390126413081,0.7295993655545117,8.260976172080655,49.7932858175786,15,16,,8.15715759159772e-08
0.1,20,PASS,1.166060773736693,response_j2_0p1_L20_neig24,response,,0.40030553100000077,0.7296445853731306,0.7296390124497881,8.260976172082618,49.793666121593155,23,24,,6.324104532867586e-08
0.2,20,PASS,1.325555178890169,response_j2_0p2_L20_neig16,response,,0.20994461000000797,0.7303047675533647,0.7302787326546357,6.155066995487374,27.667486367783148,15,16,,6.457767629858972e-08
0.2,20,PASS,1.325455178890169,response_j2_0p2_L20_neig16_dh_m0p0001,response,,2.3733693190000054,0.7303041701873846,0.7302781357821144,6.156144810441196,27.6771542947347,15,16,-0.0001,6.40102196499472e-08
0.2,20,PASS,1.325555178890169,response_j2_0p2_L20_neig16_dh_0,response,,0.2048654080000034,0.7303047675533647,0.7302787326546357,6.155066995487374,27.667486367783148,15,16,0.0,6.457767629858972e-08
0.2,20,PASS,1.325655178890169,response_j2_0p2_L20_neig16_dh_0p0001,response,,0.23099499299999593,0.7303052136808236,0.7302791782520095,6.153985103555602,27.6577777478725,15,16,0.0001,6.432991745083737e-08
